"settlement_id","lon","lat","type","settlement_score","capacity","sacred_tier","continent","source","coastal","on_river","population","coast_dist_km","is_port","degree","component","in_giant","from_junction","population_initial","hinterland_local","hinterland_regional","centrality_betweenness","accessibility","name_community","name","inkarnate"
"1",-108.655,32.775,"permanent",0.15757717192173,34.6042556762695,7,"Canada","sacred",0,0,2691.07482193642,23.4331861863543,TRUE,12,1,TRUE,FALSE,1038,404782.820530891,2057353.87514973,0,8.13222795854174,1,"Bembaide",NA
"2",-98.115,42.735,"permanent",0.496552616357803,118.442657470703,7,"Canada","sacred",0,0,9031.93650233227,450.548333159294,FALSE,9,1,TRUE,FALSE,3553,982692.02986145,8452692.68646622,1.85799010062874e-05,12.1064531038055,2,"Ruthomei",NA
"3",-44.385,43.125,"permanent",0.571213364601135,139.855712890625,7,"Canada","sacred",0,0,16314.910397228,49.5039109512371,TRUE,48,1,TRUE,FALSE,4196,1202246.15037537,7577305.69347382,0.0104626076837977,26.1306269009421,3,"Ghixekegh",NA
"4",-118.445,42.185,"permanent",0.476207762956619,113.067199707031,7,"Canada","sacred",0,0,7551.16177055667,71.8650303484946,FALSE,1,1,FALSE,FALSE,3392,929158.920173645,6762012.59986305,0,8.25957440133418,1,"Paiwaelvi",NA
"5",-61.065,40.085,"permanent",0.551653206348419,133.01171875,7,"Canada","sacred",0,0,12805.6737752351,273.695011009101,FALSE,8,1,TRUE,FALSE,3990,1105438.35366058,8739056.44255066,0.00159918092718307,20.0312611647893,4,"Tsaembiep",NA
"6",-100.285,46.245,"permanent",0.487096339464188,117.956367492676,7,"Canada","sacred",0,0,9175.68710625262,152.609794277572,FALSE,5,1,TRUE,FALSE,3539,897248.995563507,7556732.53048706,0.000277105952150915,12.6066053292061,1,"Waelfingi",NA
"7",-92.5922511738571,58.6987627492204,"permanent",0.128460302948952,29.2179889678955,7,"Canada","sacred",0,0,2432.22648750621,4.00430400414224,TRUE,28,1,TRUE,FALSE,877,146209.811365128,903570.390501022,0.00206289986601237,12.135387720858,5,"Sauweinau",NA
"8",-78.035,33.175,"permanent",0.445033401250839,112.189819335938,8,"Canada","sacred",0,0,6061.365417841,62.5738174788522,FALSE,2,1,TRUE,FALSE,3366,877784.904312134,3611456.2658844,0,11.8111349867193,6,"Kaiheirau",NA
"9",-115.625,34.775,"permanent",0.172352015972137,35.6465950012207,8,"Canada","sacred",0,0,3252.33844544177,146.483165758331,FALSE,2,1,FALSE,FALSE,1069,388968.30286026,3299574.13016558,0,7.14044101120174,1,"Vaedwenae",NA
"10",-83.865,52.805,"permanent",0.448125809431076,115.443153381348,8,"Canada","sacred",0,0,7705.21844625351,28.518033051756,TRUE,31,1,TRUE,FALSE,3463,1234577.334198,5682882.62457085,0,15.1054355382754,5,"Vaisaulei",NA
"11",-93.875,41.945,"permanent",0.476607352495193,115.920860290527,8,"Canada","sacred",0,0,16511.4089841027,627.725277479903,FALSE,11,1,TRUE,FALSE,3478,1014555.71651459,9147193.9164505,0.0197559358204367,15.1014739269129,2,"Omeitso",NA
"12",-68.725,65.995,"permanent",0.162836506962776,32.3020210266113,8,"Canada","sacred",1,0,6559.31858678116,1.95771533612534,TRUE,35,1,TRUE,FALSE,969,367192.00351572,4075952.40177727,0.0256848551510918,11.0855634883546,5,"Ishemwei",NA
"13",-75.035,38.375,"permanent",0.598037779331207,135.946563720703,0,"Canada","confluence",0,1,14598.4781239026,438.309458789266,FALSE,7,1,TRUE,FALSE,4078,1045172.4262619,9112796.6355896,0.00506240369417978,14.9807266762215,6,"Meheibau",NA
"14",-89.455,40.525,"permanent",0.57526570558548,130.261627197266,0,"Canada","confluence",0,1,16082.1845650984,768.658751448746,FALSE,12,1,TRUE,FALSE,3908,1021721.31340027,7944824.94564819,0.0151827165160102,17.6554629331869,6,"Raibheiha",NA
"15",-78.575,48.365,"permanent",0.591571092605591,136.387817382812,0,"Canada","confluence",0,1,22132.4958855708,270.457621836871,FALSE,2,1,TRUE,FALSE,4092,1228227.27045441,10815490.8625946,0.0649882468854777,12.56059566892,6,"Aibaughe",NA
"16",-80.275,38.775,"permanent",0.578991413116455,132.69499206543,0,"Canada","confluence",0,1,16000.1484309395,641.902007827463,FALSE,6,1,TRUE,FALSE,3981,1020544.12897491,8938914.58853149,0.0129284259744892,13.1023558852131,6,"Raibgamha",NA
"17",-100.415,31.935,"permanent",0.531915366649628,120.142189025879,0,"Canada","confluence",0,1,7016.73496111007,458.895401211124,FALSE,1,1,TRUE,FALSE,3604,792099.321941376,5583043.29441833,0,7.29347211958274,1,"Paibaide",NA
"18",-94.335,35.625,"permanent",0.542512238025665,123.758308410645,0,"Canada","confluence",0,1,8673.3098363033,708.107340740343,FALSE,3,1,TRUE,FALSE,3713,909005.950332642,7412535.72669983,7.21961867672883e-05,10.7510886166065,2,"Meimiruan",NA
"19",-83.125,34.455,"permanent",0.550059378147125,125.739356994629,0,"Canada","confluence",0,1,10906.2182306578,315.250632485398,FALSE,5,1,TRUE,FALSE,3772,929052.761909485,7605813.49968719,0.00158497542128968,12.0505654269347,6,"Heihame",NA
"20",-114.545,37.395,"permanent",0.519830048084259,117.714019775391,0,"Canada","confluence",0,1,9019.17542517786,339.877880732986,FALSE,3,1,FALSE,FALSE,3531,869566.979179382,4702846.78123665,0.00288154685787103,10.0785386831663,1,"Vetviwen",NA
"21",-53.805,44.535,"permanent",0.623987317085266,145.549591064453,0,"Canada","confluence",0,1,17617.9359912032,131.449786414227,FALSE,3,1,TRUE,FALSE,4366,1224830.65619659,10861538.984169,0.00846075606394883,15.8623756743835,3,"Kafagheki",NA
"22",-65.925,42.395,"permanent",0.598243772983551,139.015625,0,"Canada","confluence",0,1,10847.829095361,132.820223224589,FALSE,4,1,TRUE,FALSE,4170,1134633.23890686,7085826.95026398,0.000725854799312296,18.3549844149093,4,"Wimbiep",NA
"23",-100.585,44.165,"permanent",0.552942514419556,126.278358459473,0,"Canada","confluence",0,1,12116.5057575735,277.803104931146,FALSE,10,1,TRUE,FALSE,3788,1058232.1652832,8684651.1738205,0.00206289986601237,13.2765462866585,2,"Bopdio",NA
"24",-87.985,48.935,"permanent",0.562769770622253,130.339874267578,0,"Canada","score",1,0,18786.3612457518,2.0987144322269,TRUE,31,1,TRUE,FALSE,3910,898477.453039169,8571408.43463898,0.044773314590637,13.9030266966643,6,"Maizgamai",NA
"25",-62.775,55.295,"permanent",0.541289508342743,132.091278076172,0,"Canada","score",1,0,4841.31555223919,4.31853784526211,TRUE,48,1,TRUE,FALSE,3963,251040.255878448,1541633.15110207,0,16.7696509570383,5,"Vaiphauy",NA
"26",-31.085,43.585,"permanent",0.670879185199738,157.34196472168,0,"Canada","score",1,0,23617.4770025989,1.1950518435965,TRUE,54,1,TRUE,FALSE,4720,871135.149871826,6990940.20209885,0.132080800273496,24.0474592554819,3,"Xekafo",NA
"27",-105.835,46.265,"permanent",0.455986201763153,111.31689453125,0,"Canada","score",1,0,8871.64222161816,0.537894043448381,TRUE,24,1,TRUE,FALSE,3340,641424.907434464,4580963.32975006,0.00199816988831305,15.8083320444646,1,"Devetbem",NA
"28",-110.135,45.545,"permanent",0.458444833755493,112.689422607422,0,"Canada","score",1,0,8141.61619914141,2.07470259708801,TRUE,19,1,TRUE,FALSE,3381,848920.65250206,3861168.20414925,0.00212235554923249,13.1311355279498,1,"Khibemde",NA
"29",-41.105,40.485,"permanent",0.573317170143127,135.688812255859,0,"Canada","score",1,0,9665.28620917415,0.406190460295642,TRUE,47,1,TRUE,FALSE,4071,559191.41242981,2229696.0274353,0.00779938742445564,35.2536727595157,3,"Daghoxei",NA
"30",-37.305,48.365,"permanent",0.723302662372589,163.885559082031,0,"Canada","score",1,0,12667.2651146573,6.02418789797592,TRUE,51,1,TRUE,FALSE,4917,1020906.77910614,6116125.87342072,0.00144392373534577,31.1815307543045,7,"Firovdei",NA
"31",-78.055,53.885,"permanent",0.518631041049957,125.582984924316,0,"Canada","score",1,0,14975.7754559062,3.08525800008115,TRUE,38,1,TRUE,FALSE,3767,704409.545877457,4791369.27680016,0.049096769079081,16.7825727415424,5,"Isheisau",NA
"32",-63.525,50.465,"permanent",0.514389336109161,126.447814941406,0,"Canada","score",1,0,6866.24990876608,1.60993715793463,TRUE,51,1,TRUE,FALSE,3793,451017.231119156,1570297.6917057,0.00347921917700594,23.471014122881,5,"Ilongwei",NA
"33",-57.005,32.645,"permanent",0.687465190887451,171.035659790039,0,"Canada","score",1,0,12360.2240728667,3.8673685543461,TRUE,43,1,TRUE,FALSE,5131,618742.599975586,3831826.20878601,0.00723600666314642,22.0054981248874,4,"Aekwibau",NA
"34",-56.885,30.665,"permanent",0.720433115959167,175.622100830078,0,"Canada","score",1,0,4996.89925690493,3.07235788986445,TRUE,43,1,TRUE,FALSE,5269,397579.086303711,1105915.1133194,0,21.6374277053178,4,"Tsaewius",NA
"35",-65.475,53.245,"permanent",0.520342588424683,128.832855224609,0,"Canada","score",1,0,17814.4441343525,2.55026155089773,TRUE,51,1,TRUE,FALSE,3865,735459.634185791,4515900.73959732,0.144833513469897,20.5482885059849,5,"Veiweisau",NA
"36",-51.975,54.715,"permanent",0.675232708454132,153.96403503418,0,"Canada","score",1,0,13981.6147546549,4.53191693417542,TRUE,50,1,TRUE,FALSE,4619,583403.512136459,2796936.21904755,0.15602551498177,18.3578552007149,5,"Phiyphoi",NA
"37",-111.835,44.365,"permanent",0.478328704833984,115.198348999023,0,"Canada","score",1,0,13341.1294184522,5.99009366792906,TRUE,19,1,TRUE,FALSE,3456,924700.511154175,5803320.83563614,0.0226820600261747,12.1100808525801,1,"Vetighai",NA
"38",-105.035,29.685,"permanent",0.730590999126434,166.399993896484,0,"Canada","score",1,0,10484.0792938784,5.3174551776854,TRUE,11,1,TRUE,FALSE,4992,657187.565628052,4345870.93444061,0.00428399431773542,8.64057705168962,1,"Bemaekhi",NA
"39",-39.015,49.995,"permanent",0.573625981807709,138.078414916992,0,"Canada","score",1,0,19840.5356735992,1.07067769952166,TRUE,51,1,TRUE,FALSE,4142,507909.440876007,5007836.68744469,0.157168975175129,23.9586576954055,7,"Vokhachfi",NA
"40",-33.285,47.085,"permanent",0.538233816623688,134.536437988281,0,"Canada","score",1,0,15000.1671762053,2.65283429249643,TRUE,54,1,TRUE,FALSE,4036,313095.053131104,3000691.53992081,0.164100870813417,23.8293573743476,7,"Vokhaeyya",NA
"41",-103.035,47.435,"permanent",0.636220812797546,136.177703857422,0,"Canada","score",1,0,13207.6600191576,3.73456597521342,TRUE,28,1,TRUE,FALSE,4085,596586.575012207,3769244.7109623,0.0340332762447218,15.8910547127763,1,"Khibemvi",NA
"42",-100.055,27.655,"permanent",0.630023658275604,151.022720336914,0,"Canada","score",1,0,7651.77403009686,0.426513130200478,TRUE,9,1,TRUE,FALSE,4531,484516.465843201,4779184.95412827,0.000100862319748418,8.57875968227229,1,"Ghaidepai",NA
"43",-40.635,39.145,"permanent",0.715689182281494,163.164215087891,0,"Canada","score",1,0,12177.7062029677,2.88910011759873,TRUE,47,1,TRUE,FALSE,4895,1049633.96574402,4811330.44902039,0.00216694731164758,35.2381866331475,3,"Kafanoira",NA
"44",-55.905,31.445,"permanent",0.313287943601608,71.1062316894531,0,"Canada","score",1,0,5897.41085108617,2.91001592508843,TRUE,43,1,TRUE,FALSE,2133,365297.515274048,1179739.57258606,0.0155657102087532,25.7035410466073,4,"Aekpaumbi",NA
"45",-38.535,39.685,"permanent",0.535034894943237,135.176864624023,0,"Canada","score",1,0,6773.14793109881,3.91850128452666,TRUE,48,1,TRUE,FALSE,4055,866701.841934204,2494792.043396,6.95419151949616e-05,35.6606544065602,3,"Faeneixxe",NA
"46",-58.325,34.295,"permanent",0.531934440135956,128.553192138672,0,"Canada","score",1,0,7984.28233330491,2.10995638919324,TRUE,46,1,TRUE,FALSE,3857,552687.08291626,4694475.77780151,7.23731382054434e-05,21.0961680768236,4,"Ezbauwi",NA
"47",-65.375,43.235,"permanent",0.584428191184998,135.198791503906,0,"Canada","score",1,0,7811.714044226,3.83908648165129,TRUE,49,1,TRUE,FALSE,4056,768411.660560608,3103978.57630157,0.00100119123708166,18.7805801380173,4,"Aetsepez",NA
"48",-57.525,45.235,"permanent",0.522285282611847,129.08512878418,0,"Canada","score",1,0,8109.58475634079,2.04760419862455,TRUE,51,1,TRUE,FALSE,3873,574229.766624451,1954623.03469658,0.00703488137529489,19.6010096544317,4,"Mbipauwi",NA
"49",-100.755,54.925,"permanent",0.524453699588776,125.655067443848,0,"Canada","score",1,0,7120.82221775887,3.37248543899044,TRUE,27,1,TRUE,FALSE,3770,391982.583406448,3503138.80883408,0.000661444475823833,11.4312380000691,1,"Videi",NA
"50",-44.385,41.285,"permanent",0.559388875961304,137.761108398438,0,"Canada","score",1,0,12175.6223916836,5.72088482902565,TRUE,49,1,TRUE,FALSE,4133,763205.511917114,6215491.8225174,0.00226753156485033,26.7970185526163,3,"Ifaenoi",NA
"51",-57.055,54.015,"permanent",0.567660927772522,136.658187866211,0,"Canada","score",1,0,6302.63407239897,4.70229645567734,TRUE,49,1,TRUE,FALSE,4100,296601.87912941,2612173.61765099,0,21.2404323718461,5,"Sauweivei",NA
"52",-67.355,51.865,"permanent",0.546932697296143,131.489044189453,0,"Canada","score",1,0,12232.7417265931,3.37653896263529,TRUE,51,1,TRUE,FALSE,3945,633853.189958572,6321795.54345131,0.00374889316875434,19.5624845739811,5,"Veimiwsai",NA
